#ies_format_version: 1.0
#file: 20250807_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250807;	100616;	1754541376.000;	        err8;	        err8
20250807;	100620;	1754541380.000;	        err8;	        err8
20250807;	100624;	1754541384.000;	        err8;	        err8
20250807;	100628;	1754541388.000;	        err8;	        err8
20250807;	100632;	1754541392.000;	       err32;	       err32
20250807;	100636;	1754541396.000;	       err32;	       err32
20250807;	100640;	1754541400.000;	       err32;	       err32
20250807;	100644;	1754541404.000;	       err32;	       err32
20250807;	100648;	1754541408.000;	       err32;	       err32
20250807;	100652;	1754541412.000;	       err32;	       err32
20250807;	100656;	1754541416.000;	        err8;	        err8
20250807;	100700;	1754541420.000;	        err8;	        err8
20250807;	100704;	1754541424.000;	        err8;	        err8
20250807;	100708;	1754541428.000;	        err8;	        err8
20250807;	100712;	1754541432.000;	        err8;	        err8
20250807;	100716;	1754541436.000;	        err8;	        err8
20250807;	100720;	1754541440.000;	        err8;	        err8
20250807;	100724;	1754541444.000;	        err8;	        err8
20250807;	100728;	1754541448.000;	        err8;	        err8
20250807;	100732;	1754541452.000;	        err8;	        err8
20250807;	100736;	1754541456.000;	        err8;	        err8
20250807;	100740;	1754541460.000;	        err8;	        err8
20250807;	100744;	1754541464.000;	        err8;	        err8
20250807;	100748;	1754541468.000;	        err8;	        err8
20250807;	100752;	1754541472.000;	        err8;	        err8
20250807;	100756;	1754541476.000;	        err8;	        err8
20250807;	100800;	1754541480.000;	        err8;	        err8
20250807;	100804;	1754541484.000;	        err8;	        err8
20250807;	100808;	1754541488.000;	        err8;	        err8
20250807;	100812;	1754541492.000;	        err8;	        err8
20250807;	100816;	1754541496.000;	        err8;	        err8
20250807;	100820;	1754541500.000;	        err8;	        err8
20250807;	100824;	1754541504.000;	        err8;	        err8
20250807;	100828;	1754541508.000;	        err8;	        err8
20250807;	100832;	1754541512.000;	        err8;	        err8
20250807;	100836;	1754541516.000;	        err8;	        err8
